"number","project","owner","reviewer","date","message"
"114231","platform/frameworks/av","Yong Yao","Lajos Molnar","2014-12-04 17:30:05.753000000","Patch Set 2: Verified+1

I'm not seeing how this ends up in an infinite loop. Seems that setParameters would just be dropped."
"114621","platform/frameworks/av","Chih-hung Hsieh","Dan Albert","2014-11-14 18:19:06.456000000","Patch Set 1:

(1 comment)"
"114621","platform/frameworks/av","Chih-hung Hsieh","Chih-hung Hsieh","2014-11-14 18:48:02.375000000","Patch Set 1:

(1 comment)"
"114621","platform/frameworks/av","Chih-hung Hsieh","Chih-hung Hsieh","2014-11-14 19:34:51.055000000","Patch Set 2: Verified+1"
"114621","platform/frameworks/av","Chih-hung Hsieh","Stephen Hines","2014-11-18 23:26:12.187000000","Patch Set 2: Code-Review+2"
"114626","platform/frameworks/av","Chih-hung Hsieh","Chih-hung Hsieh","2014-11-14 19:59:59.147000000","Patch Set 2: Verified+1"
"114626","platform/frameworks/av","Chih-hung Hsieh","Glenn Kasten","2014-11-18 23:33:27.502000000","Patch Set 2: Code-Review-1

I am concerned because we have no regression test for this.

I think we need to compare the .o/.s before and after.  Have you compared these and were they identical?  If so, I can remove the -1."
"114626","platform/frameworks/av","Chih-hung Hsieh","Chih-hung Hsieh","2014-11-19 01:15:05.350000000","Patch Set 2:

Yes, now compared .s and .o file output. They are the identical before and after this change."
"114626","platform/frameworks/av","Chih-hung Hsieh","Glenn Kasten","2014-11-19 18:30:28.958000000","Patch Set 2: Code-Review+2

Thanks, sorry for the delay"
"114636","platform/packages/apps/Settings","Elliott Hughes","Elliott Hughes","2014-11-14 19:29:19.473000000","Patch Set 1: Verified+1

(1 comment)"
"114636","platform/packages/apps/Settings","Elliott Hughes","Amith Yamasani","2014-11-14 22:07:40.796000000","Patch Set 1:

What about apps outside of AOSP code that might be using the setting? Does the default value of the setting match the ICU value?"
"114636","platform/packages/apps/Settings","Elliott Hughes","Elliott Hughes","2014-11-14 22:27:15.713000000","Patch Set 1:

> What about apps outside of AOSP code that might be using the
 > setting? Does the default value of the setting match the ICU value?

anyone that uses the setting already has to deal with it being null/````. that's the default. in internal master we should deprecate Settings.System.DATE_FORMAT, but that can happen later."
"114636","platform/packages/apps/Settings","Elliott Hughes","Elliott Hughes","2014-11-14 22:28:57.473000000","Patch Set 1:

> > What about apps outside of AOSP code that might be using the
 > > setting? Does the default value of the setting match the ICU
 > value?
 > 
 > anyone that uses the setting already has to deal with it being
 > null/````. that's the default. in internal master we should deprecate
 > Settings.System.DATE_FORMAT, but that can happen later.

(and, yes, internal APIs that use this setting already use the CLDR default for the user's locale if the setting hasn't been touched.)"
"114636","platform/packages/apps/Settings","Elliott Hughes","Fabrice Di Meglio","2014-11-14 23:41:20.942000000","Patch Set 1: Code-Review+1

LGTM need +2 from Dianne"
"114636","platform/packages/apps/Settings","Elliott Hughes","Narayan Kamath","2014-11-17 10:08:05.077000000","Patch Set 1: Code-Review+2"
"114670","platform/frameworks/av","Chih-hung Hsieh","Chih-hung Hsieh","2014-11-14 21:51:29.112000000","Patch Set 1: Verified+1"
"114670","platform/frameworks/av","Chih-hung Hsieh","Eric Laurent","2014-11-14 23:28:35.299000000","Patch Set 1:

(1 comment)"
"114670","platform/frameworks/av","Chih-hung Hsieh","Chih-hung Hsieh","2014-11-15 00:34:23.164000000","Patch Set 1:

(1 comment)"
"114670","platform/frameworks/av","Chih-hung Hsieh","Eric Laurent","2014-11-15 00:37:44.716000000","Patch Set 1: Code-Review+2"
"114754","platform/frameworks/av","Dan Albert","Dan Albert","2014-11-16 02:19:00.481000000","Patch Set 1: Verified+1"
"114754","platform/frameworks/av","Dan Albert","Elliott Hughes","2014-11-16 05:49:54.976000000","Patch Set 1: Code-Review+2"
"114768","platform/frameworks/av","Marco Nelissen","Marco Nelissen","2014-11-17 18:09:17.844000000","Patch Set 1: Verified+1 Code-Review+2"
"114856","platform/frameworks/av","Elliott Hughes","Serban Constantinescu","2014-11-17 20:06:49.110000000","Patch Set 1: Code-Review+1"
"114856","platform/frameworks/av","Elliott Hughes","Dimitry Ivanov","2014-11-17 20:10:36.450000000","Patch Set 1: Code-Review+2"
"114856","platform/frameworks/av","Elliott Hughes","Christopher Ferris","2014-11-17 20:12:13.672000000","Patch Set 1: Code-Review+2"
"114856","platform/frameworks/av","Elliott Hughes","Elliott Hughes","2014-11-17 20:55:06.488000000","Patch Set 1: Verified+1"
"114873","platform/frameworks/av","Bernhard Rosenkränzer","Bernhard Rosenkränzer","2014-11-17 19:15:40.884000000","Topic set to clang"
"114873","platform/frameworks/av","Bernhard Rosenkränzer","Bernhard Rosenkränzer","2014-11-17 19:17:19.326000000","Patch Set 1: Code-Review+1

(1 comment)"
"114873","platform/frameworks/av","Bernhard Rosenkränzer","Chih-hung Hsieh","2014-11-17 19:56:39.489000000","Patch Set 1: Code-Review+2"
"114873","platform/frameworks/av","Bernhard Rosenkränzer","Chih-hung Hsieh","2014-11-17 20:00:11.697000000","Patch Set 1: Verified+1"
"114893","platform/frameworks/av","Elliott Hughes","Dan Albert","2014-11-17 19:36:53.549000000","Patch Set 1: Code-Review+2"
"114893","platform/frameworks/av","Elliott Hughes","Elliott Hughes","2014-11-17 19:38:04.987000000","Patch Set 1: Verified+1"
"114926","platform/frameworks/av","Bernhard Rosenkränzer","Bernhard Rosenkränzer","2014-11-18 08:54:33.144000000","Topic set to clang"
"114926","platform/frameworks/av","Bernhard Rosenkränzer","Dan Albert","2014-11-18 18:47:17.678000000","Patch Set 1: Code-Review+2"
"114926","platform/frameworks/av","Bernhard Rosenkränzer","Chih-hung Hsieh","2014-11-18 18:49:10.797000000","Patch Set 1: Verified+1"
"114927","platform/frameworks/av","Bernhard Rosenkränzer","Bernhard Rosenkränzer","2014-11-18 09:18:28.041000000","Topic set to clang"
"114927","platform/frameworks/av","Bernhard Rosenkränzer","Chih-hung Hsieh","2014-11-18 18:24:26.585000000","Patch Set 1: Code-Review+2 Verified+1"
"114928","platform/frameworks/av","Bernhard Rosenkränzer","Chih-hung Hsieh","2014-11-25 00:43:30.782000000","Patch Set 1: Code-Review+2 Verified+1"
"115081","platform/packages/apps/Settings","Narayan Kamath","Elliott Hughes","2014-11-18 19:18:57.963000000","Patch Set 1: Code-Review+2"
"115081","platform/packages/apps/Settings","Narayan Kamath","Neil Fuller","2014-11-20 10:18:51.300000000","Patch Set 1: Code-Review+2"
"115081","platform/packages/apps/Settings","Narayan Kamath","Narayan Kamath","2014-11-24 13:44:59.242000000","Patch Set 1: Verified+1"
"115615","platform/frameworks/av","Bernhard Rosenkränzer","Chih-hung Hsieh","2014-11-21 00:48:02.835000000","Patch Set 1: Code-Review+1"
"115615","platform/frameworks/av","Bernhard Rosenkränzer","Chih-hung Hsieh","2014-11-25 22:44:53.261000000","Patch Set 1: Code-Review+2 Verified+1"
"115624","platform/frameworks/av","Bernhard Rosenkränzer","Bernhard Rosenkränzer","2014-11-20 12:26:17.131000000","Topic set to clang"
"115624","platform/frameworks/av","Bernhard Rosenkränzer","Chih-hung Hsieh","2014-11-20 19:33:27.281000000","Patch Set 1: Code-Review+2"
"115624","platform/frameworks/av","Bernhard Rosenkränzer","Chih-hung Hsieh","2014-11-20 20:40:41.568000000","Patch Set 1: Verified+1"
"115664","platform/frameworks/av","Bernhard Rosenkränzer","Chih-hung Hsieh","2014-11-24 23:25:00.400000000","Patch Set 1: Code-Review+2 Verified+1"
"115723","platform/frameworks/av","Dan Albert","Eino-Ville Talvala","2014-11-20 19:40:27.085000000","Patch Set 1:

Out of curiosity, will this change have any impact on ABI compatibility, for binary blobs that link against Parameters.cpp, for example?

Otherwise, camera changes LGTM."
"115723","platform/frameworks/av","Dan Albert","Dan Albert","2014-11-20 20:50:03.146000000","Patch Set 1:

No, the constexpr float thing is just book keeping for the compiler, so no ABI change."
"115723","platform/frameworks/av","Dan Albert","Bionic Buildbot","2014-11-20 21:10:37.561000000","Patch Set 1: Verified+1

bionic-presubmit #367 SUCCESS: http://go/bionicbb/job/bionic-presubmit/367/"
"115723","platform/frameworks/av","Dan Albert","Stephen Hines","2014-11-20 23:32:35.173000000","Patch Set 1: Code-Review+2"
"115833","platform/frameworks/av","Zerom Han","Zerom Han","2014-11-24 06:49:27.022000000","Patch Set 1:

May i get any feedback?"
"115833","platform/frameworks/av","Zerom Han","Glenn Kasten","2014-12-01 17:57:35.545000000","Patch Set 2:

(2 comments)

Thank you for this fix.  Do you know if there is a bug # on the public issue tracker?  If so, what is that number? (it will be helpful to have a bug # to track this)."
"115833","platform/frameworks/av","Zerom Han","Glenn Kasten","2014-12-01 18:26:19.017000000","Patch Set 2:

Zerom - I just spoke with Andy about this, he agrees with my earlier comments.  

This is actually an excellent time to accept your patch, so in the interest of efficiency I will revise and upload a new patch set now."
"115833","platform/frameworks/av","Zerom Han","Andy Hung","2014-12-01 19:37:33.059000000","Patch Set 3: Code-Review+1"
"115833","platform/frameworks/av","Zerom Han","Glenn Kasten","2014-12-01 20:15:06.899000000","Patch Set 3:

Thanks I am testing now."
"115833","platform/frameworks/av","Zerom Han","Glenn Kasten","2014-12-02 17:15:55.820000000","Patch Set 3: Verified+1 Code-Review+2

tests OK: shows fail -> pass transition using apitest"
"115833","platform/frameworks/av","Zerom Han","Zerom Han","2014-12-02 22:59:19.639000000","Patch Set 3:

thanks for your kindly review."
"115869","platform/packages/apps/Settings","Michael Bestas","Michael Bestas","2014-11-24 17:56:24.965000000","Patch Set 1: Code-Review+1"
"115869","platform/packages/apps/Settings","Michael Bestas","Deckard Autoverifier","2014-12-04 03:13:38.746000000","Patch Set 1: Verified-1

This is an automated message from the Deckard Autoverifier.

Patchset merges and builds in AOSP.
Patchset does not merge in Google's internal Android source tree.

Assigning reviewer(s): yamasani@google.com

Reviewers, only accept this change if you know that you will be able to merge
and build in the internal tree.  If you verify +1, Deckard will remove the
verify -1 shortly thereafter.)"
"115869","platform/packages/apps/Settings","Michael Bestas","Deckard Autoverifier","2015-03-20 19:27:26.255000000","Patch Set 2: Verified-1

This is an automated message from the Deckard Autoverifier.

Patchset does not merge in AOSP.
The following snippet of `git merge` output may point you in the right direction:

  diff --cc res/xml/development_prefs.xml
index f31d556,eac1794..0000000
--- a/res/xml/development_prefs.xml
+++ b/res/xml/development_prefs.xml
@@@ -108,19 -108,19 +108,23 @@@
              android:title=``@string/wifi_display_certification``
              android:summary=``@string/wifi_display_certification_summary``/>
  
 -        <CheckBoxPreference
...


If you wish to pursue this change, please rebase and upload a new patchset."
"115869","platform/packages/apps/Settings","Michael Bestas","Michael Bestas","2015-03-20 22:00:49.299000000","Patch Set 3: Code-Review+1

Summaries are not visible without this commit"
"115869","platform/packages/apps/Settings","Michael Bestas","Alan Viverette","2015-03-21 19:28:12.123000000","Patch Set 3: Code-Review+2"
"115869","platform/packages/apps/Settings","Michael Bestas","Deckard Autoverifier","2015-03-21 20:40:02.788000000","Patch Set 3: Verified+1

This is an automated message from the Deckard Autoverifier.

Patchset merges and builds in AOSP.
Patchset merges and builds in Google's internal Android source tree.

Assigning reviewer(s): yamasani@google.com

Everything merges and builds.  Congratulations!"
"115869","platform/packages/apps/Settings","Michael Bestas","Michael Bestas","2015-04-24 13:50:01.663000000","Patch Set 3:

Anything holding this from being merged?"
"115869","platform/packages/apps/Settings","Michael Bestas","Alan Viverette","2015-04-24 18:05:05.596000000","Patch Set 3:

I was missing merge permissions. Done!"
"115900","platform/frameworks/opt/telephony","Paul Jensen","Deckard Autoverifier","2014-12-04 11:33:16.470000000","Patch Set 1: Verified-1

This is an automated message from the Deckard Autoverifier.

Patchset merges and builds in AOSP.
Patchset does not merge in Google's internal Android source tree.

Assigning reviewer(s): wink@google.com

Reviewers, only accept this change if you know that you will be able to merge
and build in the internal tree.  If you verify +1, Deckard will remove the
verify -1 shortly thereafter.)"
